Vreme : 9/3/2023 6:19:05 PM , Vrednost : 9.65925826289068 , Limit : 8 , Tip alarma : HIGH , Prioritet : 2 , Ime taga : REZERVOAR1
Vreme : 9/3/2023 6:19:06 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:19:06 PM , Vrednost : 9.51056516295153 , Limit : 8 , Tip alarma : HIGH , Prioritet : 2 , Ime taga : REZERVOAR1
Vreme : 9/3/2023 6:19:07 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:19:07 PM , Vrednost : 9.33580426497202 , Limit : 8 , Tip alarma : HIGH , Prioritet : 2 , Ime taga : REZERVOAR1
Vreme : 9/3/2023 6:19:08 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:19:08 PM , Vrednost : 9.13545457642601 , Limit : 8 , Tip alarma : HIGH , Prioritet : 2 , Ime taga : REZERVOAR1
Vreme : 9/3/2023 6:19:09 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:19:09 PM , Vrednost : 8.91006524188368 , Limit : 8 , Tip alarma : HIGH , Prioritet : 2 , Ime taga : REZERVOAR1
Vreme : 9/3/2023 6:19:10 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:19:10 PM , Vrednost : 8.66025403784439 , Limit : 8 , Tip alarma : HIGH , Prioritet : 2 , Ime taga : REZERVOAR1
Vreme : 9/3/2023 6:19:11 PM , Vrednost : 8.38670567945424 , Limit : 8 , Tip alarma : HIGH , Prioritet : 2 , Ime taga : REZERVOAR1
Vreme : 9/3/2023 6:19:12 PM , Vrednost : 8.09016994374947 , Limit : 8 , Tip alarma : HIGH , Prioritet : 2 , Ime taga : REZERVOAR1
